,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ingreso laboral promedio en la población ocupada1, según sexo y entidad federativa 
Primer trimestre de 2005 al cuarto trimestre de 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad federativa,Sexo,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,,,,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,ll*,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV**,I,II,III,IV
,INacional,Nacional,Hombres," $7,421.18 "," $7,410.56 "," $7,318.11 "," $7,540.13 "," $7,572.22 "," $7,654.53 "," $7,734.31 "," $7,593.16 "," $7,673.48 "," $7,812.78 "," $7,664.61 "," $7,506.99 "," $7,691.19 "," $7,576.58 "," $7,419.35 "," $7,133.33 "," $7,218.32 "," $7,148.18 "," $6,881.76 "," $6,666.51 "," $6,898.79 "," $6,825.31 "," $6,770.16 "," $6,653.13 "," $6,796.45 "," $6,768.12 "," $6,711.04 "," $6,510.59 "," $6,692.09 "," $6,677.22 "," $6,576.14 "," $6,576.84 "," $6,743.60 "," $6,516.52 "," $6,429.98 "," $6,427.70 "," $6,392.82 "," $6,282.68 "," $6,236.81 "," $6,148.14 "," $6,327.47 "," $6,359.37 "," $6,431.23 "," $6,385.54 "," $6,520.58 "," $6,537.02 "," $6,628.60 "," $6,554.14 "," $6,592.06 "," $6,543.55 "," $6,471.32 "," $6,392.86 "," $6,621.87 "," $6,640.88 "," $6,533.68 "," $6,481.87 "," $6,734.27 "," $6,712.09 "," $6,665.16 "," $6,736.55 "," $7,117.17 ",ND," $6,625.27 "," $6,801.05 "," $6,998.67 "," $6,951.83 "," $6,916.17 "," $6,835.84 "," $7,169.93 "," $7,124.25 "," $6,893.67 "," $7,067.65 "," $7,480.62 "," $7,528.17 "," $7,583.29 "," $7,598.45 "," $8,029.47 "," $8,137.81 "," $8,067.53 "," $8,025.83 "
,IINacional,,Mujeres," $5,353.32 "," $5,356.61 "," $5,423.90 "," $5,587.89 "," $5,631.87 "," $5,672.52 "," $5,698.60 "," $5,565.39 "," $5,661.02 "," $5,697.51 "," $5,742.51 "," $5,477.63 "," $5,592.41 "," $5,590.82 "," $5,545.05 "," $5,348.79 "," $5,463.36 "," $5,462.59 "," $5,285.93 "," $5,076.62 "," $5,169.15 "," $5,202.95 "," $5,242.06 "," $5,200.83 "," $5,272.10 "," $5,219.79 "," $5,183.81 "," $4,970.99 "," $5,184.87 "," $5,134.33 "," $5,058.38 "," $5,105.93 "," $5,206.71 "," $5,132.86 "," $5,142.84 "," $4,966.35 "," $5,010.37 "," $4,980.89 "," $4,963.47 "," $4,829.80 "," $4,967.84 "," $4,965.56 "," $5,075.91 "," $4,921.09 "," $5,068.10 "," $5,130.02 "," $5,120.14 "," $5,108.08 "," $5,171.80 "," $5,150.15 "," $5,129.34 "," $4,983.61 "," $5,208.51 "," $5,242.16 "," $5,149.72 "," $5,071.78 "," $5,207.10 "," $5,227.02 "," $5,189.90 "," $5,204.84 "," $5,531.62 ",ND," $5,601.25 "," $5,535.24 "," $5,746.50 "," $5,560.91 "," $5,581.78 "," $5,447.65 "," $5,763.28 "," $5,655.87 "," $5,578.38 "," $5,522.43 "," $5,860.84 "," $5,935.87 "," $5,971.40 "," $6,013.84 "," $6,296.22 "," $6,450.51 "," $6,433.15 "," $6,431.81 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguascalientes,Hombres," $7,956.99 "," $8,049.33 "," $8,228.39 "," $8,162.13 "," $7,811.13 "," $8,516.04 "," $8,477.55 "," $8,013.47 "," $8,144.79 "," $8,275.45 "," $8,262.58 "," $8,080.32 "," $8,735.38 "," $8,301.53 "," $8,261.03 "," $7,947.52 "," $7,768.50 "," $7,798.79 "," $7,304.99 "," $7,314.74 "," $7,631.37 "," $7,234.95 "," $7,095.20 "," $6,986.94 "," $7,323.36 "," $7,132.48 "," $7,158.75 "," $6,554.22 "," $7,233.25 "," $7,075.40 "," $6,954.28 "," $7,310.34 "," $7,123.40 "," $7,014.38 "," $6,584.90 "," $7,038.43 "," $6,933.45 "," $6,992.11 "," $7,017.70 "," $6,515.67 "," $6,730.48 "," $6,736.84 "," $6,969.30 "," $7,148.30 "," $7,301.08 "," $7,475.10 "," $7,281.12 "," $7,260.29 "," $7,342.92 "," $7,124.16 "," $7,088.18 "," $6,917.02 "," $6,846.32 "," $7,282.34 "," $6,981.49 "," $6,690.16 "," $6,991.78 "," $7,086.87 "," $7,749.58 "," $7,422.62 "," $7,955.51 ",ND," $7,737.31 "," $7,977.81 "," $7,627.08 "," $7,440.61 "," $7,912.68 "," $7,648.11 "," $8,323.85 "," $8,379.50 "," $7,562.82 "," $7,660.38 "," $7,975.51 "," $8,083.15 "," $7,762.19 "," $8,059.59 "," $8,701.45 "," $8,436.12 "," $9,396.86 "," $9,371.84 "
,,,Mujeres," $5,738.09 "," $6,014.70 "," $6,458.98 "," $5,927.88 "," $6,015.62 "," $6,232.87 "," $6,182.74 "," $5,525.24 "," $5,833.10 "," $6,159.73 "," $5,838.77 "," $5,962.26 "," $6,214.35 "," $5,967.96 "," $6,106.06 "," $5,834.45 "," $5,979.21 "," $5,868.18 "," $5,782.58 "," $5,360.19 "," $5,648.67 "," $5,210.72 "," $5,492.63 "," $5,445.91 "," $5,442.80 "," $5,559.18 "," $5,652.57 "," $5,067.46 "," $5,581.78 "," $5,403.87 "," $5,417.25 "," $5,494.06 "," $5,438.98 "," $5,563.23 "," $5,091.15 "," $5,096.72 "," $5,076.99 "," $5,241.02 "," $5,194.33 "," $5,110.88 "," $5,102.05 "," $5,367.23 "," $5,442.40 "," $5,335.51 "," $5,296.86 "," $5,447.55 "," $5,222.89 "," $5,401.84 "," $5,543.31 "," $5,325.86 "," $5,143.12 "," $5,254.30 "," $5,540.16 "," $5,426.39 "," $5,164.76 "," $5,281.52 "," $5,533.90 "," $5,427.80 "," $5,792.98 "," $5,609.64 "," $5,955.31 ",ND," $6,327.75 "," $6,184.87 "," $6,200.38 "," $6,083.20 "," $6,006.03 "," $5,777.49 "," $6,380.07 "," $6,031.20 "," $6,058.74 "," $5,916.81 "," $6,384.73 "," $6,027.33 "," $6,232.16 "," $6,326.38 "," $6,884.64 "," $6,364.25 "," $6,998.68 "," $7,033.84 "
,,Baja California,Hombres," $11,121.33 "," $11,554.33 "," $11,719.86 "," $11,799.27 "," $12,144.42 "," $12,533.68 "," $12,188.14 "," $11,789.56 "," $11,546.61 "," $11,985.69 "," $11,620.65 "," $11,280.86 "," $11,675.50 "," $11,013.03 "," $10,855.55 "," $9,902.32 "," $10,107.75 "," $9,776.73 "," $9,468.96 "," $9,130.98 "," $9,627.07 "," $9,517.96 "," $9,487.39 "," $9,134.23 "," $9,639.33 "," $9,321.12 "," $9,111.82 "," $8,920.94 "," $9,022.82 "," $9,081.07 "," $8,533.40 "," $8,909.57 "," $8,771.21 "," $8,550.80 "," $8,679.15 "," $8,448.00 "," $8,399.87 "," $8,122.90 "," $7,954.97 "," $8,039.97 "," $8,072.83 "," $8,132.42 "," $7,935.57 "," $8,139.42 "," $8,079.40 "," $8,226.73 "," $8,863.93 "," $8,325.34 "," $8,294.30 "," $8,280.82 "," $8,104.33 "," $8,226.23 "," $8,419.87 "," $8,884.42 "," $8,063.05 "," $8,138.04 "," $9,315.04 "," $9,174.02 "," $9,422.03 "," $9,053.83 "," $9,221.81 ",ND," $9,145.19 "," $9,222.42 "," $9,702.47 "," $9,498.60 "," $9,697.53 "," $9,531.70 "," $10,653.65 "," $10,513.32 "," $10,406.83 "," $10,520.64 "," $10,930.09 "," $11,024.22 "," $11,466.61 "," $11,150.55 "," $11,695.63 "," $11,659.70 "," $11,975.12 "," $11,345.59 "
,,,Mujeres," $8,681.55 "," $8,730.94 "," $9,139.68 "," $8,970.43 "," $9,342.42 "," $9,310.64 "," $9,361.32 "," $8,840.91 "," $9,178.57 "," $8,807.51 "," $8,885.91 "," $8,820.42 "," $8,626.70 "," $8,479.87 "," $8,372.21 "," $7,648.96 "," $7,777.43 "," $8,130.35 "," $7,212.44 "," $7,024.87 "," $7,605.45 "," $6,997.32 "," $7,318.54 "," $7,686.96 "," $7,507.50 "," $7,214.59 "," $7,136.52 "," $6,955.21 "," $7,351.42 "," $7,064.54 "," $6,959.98 "," $6,947.99 "," $7,160.80 "," $7,225.18 "," $6,935.30 "," $6,788.95 "," $6,715.79 "," $6,958.07 "," $6,642.45 "," $6,331.02 "," $6,426.12 "," $6,534.43 "," $6,474.56 "," $6,352.11 "," $6,573.65 "," $6,660.28 "," $6,673.81 "," $6,749.12 "," $6,434.10 "," $6,473.54 "," $6,417.15 "," $6,495.63 "," $6,714.91 "," $6,629.88 "," $6,563.24 "," $6,575.37 "," $7,497.50 "," $7,395.07 "," $7,419.40 "," $7,164.12 "," $7,853.61 ",ND," $7,381.61 "," $7,237.75 "," $7,558.73 "," $7,779.33 "," $8,138.36 "," $7,577.27 "," $8,508.61 "," $8,212.51 "," $8,728.91 "," $8,236.63 "," $8,826.82 "," $9,385.48 "," $9,145.23 "," $8,976.98 "," $9,489.76 "," $9,391.80 "," $9,466.11 "," $9,494.68 "
,,Baja California Sur,Hombres," $10,687.53 "," $10,994.35 "," $11,123.71 "," $11,140.54 "," $10,619.29 "," $12,007.44 "," $11,603.66 "," $12,667.50 "," $11,926.35 "," $12,261.24 "," $12,419.56 "," $13,760.81 "," $12,316.84 "," $13,219.05 "," $11,928.12 "," $11,778.73 "," $11,539.80 "," $10,870.69 "," $10,938.46 "," $10,197.32 "," $9,835.00 "," $10,711.61 "," $10,457.08 "," $10,104.63 "," $10,425.55 "," $10,397.03 "," $9,859.14 "," $10,652.77 "," $10,023.84 "," $10,215.21 "," $10,480.38 "," $10,784.39 "," $9,767.32 "," $9,817.14 "," $10,001.36 "," $9,731.53 "," $10,250.87 "," $9,667.83 "," $8,856.33 "," $9,884.49 "," $9,875.30 "," $9,872.42 "," $9,572.03 "," $9,851.86 "," $9,867.77 "," $9,719.61 "," $10,557.24 "," $10,518.00 "," $10,423.64 "," $10,476.26 "," $10,417.13 "," $10,167.38 "," $10,439.60 "," $10,632.55 "," $10,662.79 "," $10,382.75 "," $10,453.19 "," $10,483.24 "," $9,895.84 "," $9,983.12 "," $10,312.70 ",ND," $9,881.47 "," $10,168.66 "," $9,685.59 "," $10,278.36 "," $11,714.22 "," $11,405.97 "," $10,886.45 "," $11,315.25 "," $11,456.64 "," $10,887.65 "," $11,517.98 "," $11,975.00 "," $12,022.31 "," $11,809.19 "," $12,013.45 "," $12,115.73 "," $12,055.70 "," $12,348.69 "
,,,Mujeres," $8,162.05 "," $8,339.52 "," $7,949.36 "," $8,531.92 "," $8,145.04 "," $9,087.89 "," $8,873.35 "," $9,357.30 "," $8,389.48 "," $8,638.44 "," $9,392.13 "," $8,819.91 "," $10,648.50 "," $8,830.35 "," $8,267.04 "," $8,360.83 "," $8,446.34 "," $8,406.68 "," $9,074.86 "," $7,508.32 "," $7,630.30 "," $7,598.46 "," $7,039.92 "," $7,316.43 "," $7,152.00 "," $7,783.19 "," $7,872.32 "," $8,118.83 "," $7,691.49 "," $8,116.95 "," $8,448.03 "," $8,009.81 "," $7,258.31 "," $7,367.62 "," $7,978.86 "," $7,430.07 "," $7,122.10 "," $7,141.02 "," $7,136.44 "," $7,209.27 "," $7,167.27 "," $7,588.17 "," $6,903.28 "," $7,214.01 "," $7,547.76 "," $7,692.19 "," $7,420.66 "," $8,496.72 "," $7,489.62 "," $7,805.30 "," $8,097.68 "," $7,855.32 "," $7,551.94 "," $7,688.99 "," $7,342.35 "," $8,219.02 "," $7,797.77 "," $8,613.62 "," $7,986.73 "," $7,733.91 "," $8,071.59 ",ND," $7,247.25 "," $7,443.00 "," $7,230.32 "," $7,826.46 "," $9,100.43 "," $9,017.57 "," $8,354.50 "," $8,631.86 "," $8,922.19 "," $8,294.45 "," $9,397.82 "," $8,335.24 "," $8,766.25 "," $8,751.17 "," $8,742.59 "," $8,875.20 "," $9,405.85 "," $9,565.74 "
,,Campeche,Hombres," $6,963.25 "," $6,953.00 "," $6,978.56 "," $7,104.37 "," $7,189.67 "," $7,413.21 "," $7,260.98 "," $6,991.02 "," $7,343.50 "," $7,373.09 "," $7,344.07 "," $7,332.94 "," $7,655.43 "," $7,573.32 "," $7,320.81 "," $7,226.93 "," $7,473.15 "," $6,766.16 "," $7,023.05 "," $7,079.43 "," $6,878.34 "," $6,762.89 "," $6,966.94 "," $6,522.87 "," $6,844.63 "," $7,283.19 "," $7,053.23 "," $7,151.35 "," $6,896.68 "," $7,250.04 "," $6,876.06 "," $7,167.19 "," $6,883.49 "," $7,470.35 "," $7,543.15 "," $7,112.49 "," $7,325.29 "," $7,260.16 "," $7,102.84 "," $6,825.86 "," $6,886.46 "," $7,121.90 "," $6,816.32 "," $6,903.51 "," $6,868.48 "," $6,854.25 "," $6,644.41 "," $6,693.49 "," $6,493.48 "," $6,027.73 "," $5,993.02 "," $6,287.09 "," $6,226.73 "," $6,368.52 "," $6,175.63 "," $6,077.62 "," $6,251.90 "," $6,486.40 "," $6,479.84 "," $6,369.70 "," $6,575.83 ",ND," $5,908.99 "," $6,443.30 "," $6,305.90 "," $6,373.67 "," $6,270.33 "," $6,506.64 "," $6,984.03 "," $6,554.91 "," $6,397.08 "," $6,533.53 "," $6,622.01 "," $6,887.33 "," $7,111.58 "," $7,246.08 "," $7,584.50 "," $7,856.76 "," $7,369.16 "," $7,447.24 "
,,,Mujeres," $4,838.00 "," $4,792.36 "," $4,887.74 "," $5,464.54 "," $5,309.22 "," $5,433.35 "," $5,479.12 "," $4,955.20 "," $4,943.95 "," $5,335.46 "," $5,506.01 "," $5,566.39 "," $5,392.88 "," $5,580.39 "," $5,178.61 "," $4,951.98 "," $5,140.51 "," $5,570.03 "," $4,870.87 "," $5,047.60 "," $5,141.00 "," $5,319.07 "," $5,008.09 "," $5,131.46 "," $5,242.25 "," $5,222.42 "," $5,474.81 "," $5,298.37 "," $5,351.96 "," $5,804.83 "," $4,934.86 "," $4,995.71 "," $5,254.82 "," $5,257.36 "," $5,229.10 "," $5,438.21 "," $5,557.18 "," $5,517.33 "," $5,420.66 "," $5,070.15 "," $5,139.66 "," $5,246.64 "," $5,382.84 "," $5,260.21 "," $5,370.50 "," $5,376.81 "," $5,331.62 "," $4,981.90 "," $5,043.44 "," $4,799.52 "," $4,964.43 "," $4,819.74 "," $4,876.97 "," $5,139.55 "," $5,087.25 "," $4,706.76 "," $4,691.77 "," $4,858.43 "," $4,985.50 "," $4,694.10 "," $4,773.97 ",ND," $4,931.39 "," $5,037.07 "," $4,992.93 "," $4,792.77 "," $5,247.35 "," $5,056.56 "," $5,284.38 "," $5,257.71 "," $5,052.27 "," $4,995.95 "," $4,983.67 "," $5,159.22 "," $5,436.09 "," $5,473.79 "," $5,783.83 "," $5,966.40 "," $6,045.66 "," $5,990.62 "
,,Coahuila de Zaragoza,Hombres," $9,087.01 "," $9,685.24 "," $9,448.11 "," $9,292.99 "," $9,345.00 "," $9,132.16 "," $9,704.94 "," $8,862.31 "," $9,596.92 "," $9,476.20 "," $9,468.65 "," $8,904.07 "," $9,012.69 "," $8,674.59 "," $8,665.08 "," $8,422.74 "," $8,118.44 "," $8,378.95 "," $7,890.43 "," $7,711.96 "," $7,704.33 "," $7,765.97 "," $7,945.55 "," $7,325.37 "," $7,761.20 "," $7,932.04 "," $8,055.73 "," $7,560.58 "," $7,509.03 "," $7,750.06 "," $7,693.28 "," $7,551.68 "," $7,964.49 "," $7,846.97 "," $8,020.77 "," $8,003.58 "," $8,007.24 "," $7,644.72 "," $8,002.99 "," $7,931.48 "," $7,847.28 "," $7,928.15 "," $8,117.34 "," $8,100.35 "," $8,161.11 "," $8,336.41 "," $8,345.69 "," $8,032.29 "," $8,113.58 "," $8,272.97 "," $8,135.12 "," $8,254.28 "," $8,123.34 "," $8,380.95 "," $8,405.94 "," $8,398.30 "," $8,673.31 "," $8,729.96 "," $8,921.39 "," $8,763.65 "," $9,020.81 ",ND," $8,725.75 "," $8,452.16 "," $8,663.84 "," $8,526.61 "," $8,789.58 "," $8,777.42 "," $8,830.91 "," $8,741.07 "," $8,746.09 "," $8,685.86 "," $9,171.29 "," $9,332.75 "," $9,588.17 "," $9,323.10 "," $9,669.98 "," $9,825.16 "," $9,944.79 "," $9,903.70 "
,,,Mujeres," $7,032.64 "," $6,816.45 "," $6,625.97 "," $6,516.19 "," $6,618.67 "," $6,506.10 "," $7,063.47 "," $6,600.34 "," $6,948.22 "," $6,725.08 "," $6,804.30 "," $6,318.52 "," $5,971.57 "," $6,028.57 "," $6,541.84 "," $5,904.12 "," $5,870.03 "," $6,001.27 "," $5,980.60 "," $5,612.74 "," $5,908.23 "," $5,652.76 "," $5,979.19 "," $5,702.99 "," $5,896.21 "," $5,571.39 "," $5,659.27 "," $5,581.38 "," $5,727.81 "," $5,638.00 "," $6,048.30 "," $6,041.95 "," $5,991.41 "," $6,079.68 "," $6,072.19 "," $5,832.02 "," $5,850.31 "," $5,655.62 "," $5,924.09 "," $6,075.34 "," $6,199.56 "," $6,347.23 "," $6,517.93 "," $6,302.89 "," $6,107.15 "," $6,111.69 "," $6,174.10 "," $5,915.58 "," $6,248.50 "," $6,351.03 "," $6,371.61 "," $6,109.28 "," $6,007.39 "," $6,209.15 "," $6,470.25 "," $6,176.08 "," $6,246.39 "," $6,724.50 "," $6,819.60 "," $6,560.13 "," $6,857.64 ",ND," $6,779.52 "," $6,595.03 "," $6,918.39 "," $6,804.27 "," $7,074.14 "," $6,761.46 "," $7,170.69 "," $6,927.92 "," $6,825.17 "," $6,700.62 "," $7,022.68 "," $7,297.52 "," $7,550.68 "," $7,457.43 "," $7,569.94 "," $7,672.60 "," $7,694.63 "," $7,589.50 "
,,Colima,Hombres," $8,353.77 "," $8,730.23 "," $9,201.22 "," $8,322.50 "," $8,899.29 "," $8,898.21 "," $9,350.44 "," $9,222.60 "," $8,782.34 "," $9,179.66 "," $8,864.77 "," $8,725.12 "," $9,098.87 "," $8,807.25 "," $8,679.19 "," $8,439.42 "," $8,422.53 "," $7,973.57 "," $8,230.43 "," $7,925.20 "," $8,301.56 "," $8,642.20 "," $8,462.01 "," $8,354.10 "," $8,276.51 "," $8,071.58 "," $7,839.71 "," $7,941.36 "," $8,066.57 "," $8,368.09 "," $8,389.32 "," $8,081.16 "," $8,434.44 "," $8,918.80 "," $7,972.43 "," $8,249.64 "," $8,056.47 "," $7,856.99 "," $7,846.70 "," $7,783.75 "," $7,870.69 "," $7,912.83 "," $7,799.54 "," $7,803.94 "," $7,937.28 "," $7,879.01 "," $7,945.11 "," $7,893.47 "," $7,965.32 "," $7,832.89 "," $8,139.11 "," $7,918.37 "," $8,459.17 "," $8,079.28 "," $8,651.16 "," $8,023.87 "," $8,216.74 "," $8,211.48 "," $8,273.09 "," $8,224.53 "," $8,244.03 ",ND," $7,748.24 "," $8,189.00 "," $8,240.76 "," $8,905.44 "," $8,511.85 "," $8,727.99 "," $8,728.13 "," $9,072.43 "," $8,606.00 "," $8,914.18 "," $9,203.53 "," $9,221.96 "," $9,327.40 "," $9,190.73 "," $9,796.33 "," $9,778.90 "," $9,552.25 "," $9,652.00 "
,,,Mujeres," $5,852.63 "," $5,645.81 "," $5,537.32 "," $5,596.84 "," $5,784.81 "," $5,854.60 "," $5,854.05 "," $5,688.57 "," $5,806.44 "," $6,149.69 "," $6,186.72 "," $6,277.01 "," $6,135.71 "," $6,116.30 "," $5,952.05 "," $5,936.27 "," $6,133.31 "," $5,933.84 "," $6,002.54 "," $5,704.61 "," $5,558.81 "," $5,615.12 "," $5,571.22 "," $5,509.82 "," $5,480.58 "," $5,724.02 "," $5,323.10 "," $5,222.13 "," $5,549.13 "," $5,403.90 "," $5,334.76 "," $5,589.16 "," $5,464.75 "," $5,421.82 "," $5,793.79 "," $5,374.32 "," $5,382.79 "," $5,229.86 "," $5,237.70 "," $5,273.51 "," $5,341.92 "," $5,327.46 "," $5,583.40 "," $5,463.93 "," $5,472.92 "," $5,512.98 "," $5,371.64 "," $5,496.18 "," $5,442.03 "," $5,259.50 "," $5,406.46 "," $5,394.35 "," $5,360.65 "," $5,519.16 "," $5,770.98 "," $5,530.72 "," $5,511.81 "," $5,657.96 "," $5,621.20 "," $5,576.64 "," $5,727.91 ",ND," $5,705.51 "," $5,897.75 "," $6,022.94 "," $6,519.37 "," $6,170.52 "," $6,362.55 "," $5,895.86 "," $5,935.11 "," $6,038.79 "," $6,210.96 "," $6,305.55 "," $6,124.89 "," $6,275.08 "," $6,349.33 "," $6,780.89 "," $6,634.35 "," $7,214.76 "," $7,060.96 "
,,Chiapas,Hombres," $3,501.78 "," $3,387.37 "," $3,555.81 "," $3,552.88 "," $3,623.33 "," $3,662.49 "," $3,585.72 "," $3,687.57 "," $3,974.02 "," $4,013.34 "," $3,941.56 "," $3,933.07 "," $3,925.66 "," $3,953.72 "," $3,730.38 "," $3,830.44 "," $3,970.91 "," $3,775.09 "," $4,038.00 "," $3,661.31 "," $3,695.64 "," $3,540.87 "," $3,703.65 "," $3,589.53 "," $3,834.58 "," $3,858.75 "," $3,700.41 "," $3,661.17 "," $3,704.64 "," $3,713.26 "," $3,697.24 "," $3,626.57 "," $3,709.09 "," $3,529.89 "," $3,664.29 "," $3,499.50 "," $3,593.72 "," $3,426.34 "," $3,495.85 "," $3,422.87 "," $3,570.81 "," $3,517.81 "," $3,483.85 "," $3,422.79 "," $3,741.37 "," $3,561.35 "," $3,444.11 "," $3,549.03 "," $3,581.71 "," $3,550.07 "," $3,321.25 "," $3,406.47 "," $3,466.02 "," $3,546.82 "," $3,462.63 "," $3,364.50 "," $3,469.77 "," $3,320.73 "," $3,278.61 "," $3,532.81 "," $3,639.73 ",ND," $3,455.93 "," $3,845.12 "," $3,770.11 "," $3,870.38 "," $3,527.84 "," $3,619.33 "," $4,110.52 "," $3,712.54 "," $3,586.36 "," $3,971.09 "," $4,095.73 "," $4,113.10 "," $3,964.06 "," $4,139.11 "," $4,444.72 "," $4,547.11 "," $4,478.12 "," $4,502.12 "
,,,Mujeres," $3,544.89 "," $3,354.78 "," $3,236.08 "," $3,285.85 "," $3,555.97 "," $3,474.40 "," $3,539.68 "," $3,636.22 "," $3,702.37 "," $3,915.03 "," $3,538.98 "," $3,592.35 "," $3,740.41 "," $3,983.49 "," $3,893.27 "," $4,013.61 "," $3,771.97 "," $3,858.60 "," $3,713.22 "," $3,531.36 "," $3,665.40 "," $3,748.50 "," $3,769.68 "," $3,892.20 "," $3,852.11 "," $3,725.64 "," $3,824.12 "," $3,722.53 "," $3,807.83 "," $3,415.77 "," $3,950.57 "," $3,923.58 "," $3,903.99 "," $3,737.79 "," $3,764.09 "," $3,698.10 "," $3,962.23 "," $3,554.61 "," $3,922.89 "," $3,823.07 "," $4,020.04 "," $4,031.55 "," $3,966.90 "," $3,592.61 "," $3,912.82 "," $3,734.27 "," $3,840.48 "," $3,875.43 "," $3,497.42 "," $3,943.77 "," $3,912.75 "," $3,954.91 "," $3,842.22 "," $4,216.92 "," $3,969.93 "," $4,039.70 "," $4,074.73 "," $3,603.92 "," $3,706.72 "," $3,890.53 "," $4,102.90 ",ND," $3,949.70 "," $3,953.45 "," $4,173.30 "," $4,271.88 "," $4,402.01 "," $3,797.18 "," $4,035.29 "," $3,868.50 "," $3,559.39 "," $3,797.64 "," $4,049.60 "," $4,015.78 "," $4,110.48 "," $4,278.43 "," $4,266.44 "," $4,233.48 "," $4,478.37 "," $4,580.74 "
